iter	RMSE
0	1352.420567
1	1351.206989
2	1348.45067
3	1346.400607
4	1343.903304
5	1340.779046
6	1337.264739
7	1336.733631
8	1332.309883
9	1328.751133
10	1325.821376
11	1323.881617
12	1321.422803
13	1320.021039
14	1316.221376
15	1314.923623
16	1313.266332
17	1311.399776
18	1307.462343
19	1304.652571
20	1303.821211
21	1302.498128
22	1301.628651
23	1300.39803
24	1296.561431
25	1294.325091
26	1292.156752
27	1290.479611
28	1290.119276
29	1289.485392
30	1286.436041
31	1286.111942
32	1285.286724
33	1283.294006
34	1281.368614
35	1279.585349
36	1277.139499
37	1277.133523
38	1275.112754
39	1272.586078
40	1271.772285
41	1269.906614
42	1267.159869
43	1266.708903
44	1265.282785
45	1264.412932
46	1261.594937
47	1261.047944
48	1260.331923
49	1257.653985
50	1255.514778
51	1255.382783
52	1255.236663
53	1252.596724
54	1249.395322
55	1248.201624
56	1245.644617
57	1245.490259
58	1245.274979
59	1243.640438
60	1242.888793
61	1242.385813
62	1242.238418
63	1239.673289
64	1237.13339
65	1237.083089
66	1236.637663
67	1236.020993
68	1235.187948
69	1234.427944
70	1234.223077
71	1231.416154
72	1229.387573
73	1228.40523
74	1225.542077
75	1224.826011
76	1222.693433
77	1221.433507
78	1221.280959
79	1220.662427
80	1218.224738
81	1216.470918
82	1216.427817
83	1214.673246
84	1214.553298
85	1213.334706
86	1213.310516
87	1212.940989
88	1212.85955
89	1210.557527
90	1210.556744
91	1208.373127
92	1205.879569
93	1205.840963
94	1204.749836
95	1204.318075
96	1202.275141
97	1199.884961
98	1196.690019
99	1195.195914
100	1195.160733
101	1194.337935
102	1194.300269
103	1193.562455
104	1190.893922
105	1189.034836
106	1188.175272
107	1186.131034
108	1184.8366
109	1183.874778
110	1182.812063
111	1182.640165
112	1182.428051
113	1180.028208
114	1178.598807
115	1178.513219
116	1176.806341
117	1175.650852
118	1175.475212
119	1174.314165
120	1173.151182
121	1171.704488
122	1171.446806
123	1170.932433
124	1168.921894
125	1167.162027
126	1166.099581
127	1164.853764
128	1162.929232
129	1161.708876
130	1160.455164
131	1157.774458
132	1157.64473
133	1156.925949
134	1156.528635
135	1154.571174
136	1152.809206
137	1152.297214
138	1150.813233
139	1147.981499
140	1146.367977
141	1144.213931
142	1144.119296
143	1143.177087
144	1141.003337
145	1140.233435
146	1138.348783
147	1138.20498
148	1136.558576
149	1135.398724
150	1133.423563
151	1132.316721
152	1131.816827
153	1131.212768
154	1129.556078
155	1129.437009
156	1127.874545
157	1124.969042
158	1124.799957
159	1123.363678
160	1121.077147
161	1119.314426
162	1116.913269
163	1114.62795
164	1112.886819
165	1111.693376
166	1111.523375
167	1110.4544
168	1109.105857
169	1106.916777
170	1104.111675
171	1102.54625
172	1101.993568
173	1100.860839
174	1100.619217
175	1099.564525
176	1098.375491
177	1097.111643
178	1095.684027
179	1094.812376
180	1093.955841
181	1091.841247
182	1089.575664
183	1087.413173
184	1085.247869
185	1083.754401
186	1081.40456
187	1079.537546
188	1078.209398
189	1076.121863
190	1074.044596
191	1072.486497
192	1070.893561
193	1068.931295
194	1068.072118
195	1066.730986
196	1065.00055
197	1063.333422
198	1062.591101
199	1059.604284
200	1058.971251
201	1057.299062
202	1055.486168
203	1053.512174
204	1052.030544
205	1051.432427
206	1050.45068
207	1050.291997
208	1048.653218
209	1047.997423
210	1047.323621
211	1045.286153
212	1043.704241
213	1042.289129
214	1041.642673
215	1040.110958
216	1039.363235
217	1038.043251
