iter	Passed	Remaining
0	202	202053
1	233	116494
2	264	87867
3	291	72471
4	313	62435
5	349	57883
6	371	52769
7	390	48418
8	414	45610
9	435	43137
10	457	41136
11	479	39483
12	502	38148
13	524	36922
14	547	35940
15	571	35154
16	593	34338
17	616	33606
18	639	32996
19	662	32438
20	684	31894
21	705	31359
22	728	30962
23	751	30568
24	779	30414
25	802	30060
26	826	29794
27	849	29491
28	872	29198
29	893	28893
30	915	28619
31	933	28227
32	954	27960
33	977	27775
34	1000	27588
35	1025	27448
36	1050	27343
37	1064	26951
38	1086	26766
39	1108	26601
40	1130	26454
41	1153	26308
42	1175	26153
43	1195	25982
44	1218	25857
45	1239	25714
46	1261	25570
47	1281	25423
48	1304	25319
49	1326	25203
50	1348	25095
51	1371	24996
52	1393	24903
53	1416	24821
54	1438	24715
55	1459	24603
56	1481	24504
57	1492	24248
58	1513	24135
59	1536	24069
60	1558	23990
61	1569	23751
62	1591	23673
63	1614	23607
64	1636	23544
65	1645	23284
66	1669	23243
67	1691	23188
68	1715	23144
69	1738	23093
70	1750	22898
71	1771	22836
72	1794	22781
73	1814	22711
74	1837	22665
75	1860	22622
76	1884	22583
77	1906	22539
78	1930	22504
79	1953	22460
80	1976	22422
81	1999	22386
82	2010	22217
83	2035	22197
84	2050	22068
85	2071	22018
86	2083	21862
87	2105	21822
88	2127	21777
89	2149	21729
90	2156	21543
91	2178	21504
92	2201	21468
93	2219	21392
94	2240	21341
95	2262	21307
96	2285	21278
97	2307	21238
98	2329	21199
99	2352	21175
100	2367	21070
101	2388	21029
102	2399	20897
103	2420	20851
104	2442	20817
105	2464	20787
106	2488	20765
107	2509	20729
108	2532	20703
109	2554	20666
110	2576	20637
111	2598	20602
112	2621	20575
113	2644	20550
114	2667	20524
115	2688	20491
116	2710	20456
117	2732	20425
118	2755	20396
119	2776	20364
120	2799	20338
121	2821	20305
122	2843	20272
123	2865	20240
124	2887	20210
125	2909	20182
126	2932	20155
127	2953	20118
128	2975	20090
129	2997	20061
130	3018	20025
131	3040	19991
132	3061	19958
133	3083	19926
134	3105	19900
135	3127	19871
136	3151	19851
137	3172	19816
138	3192	19777
139	3214	19748
140	3236	19717
141	3258	19691
142	3280	19660
143	3302	19630
144	3324	19601
145	3346	19577
146	3368	19548
147	3390	19518
148	3413	19495
149	3435	19466
150	3456	19436
151	3477	19403
152	3499	19373
153	3522	19348
154	3544	19323
155	3566	19296
156	3588	19268
157	3611	19247
158	3635	19227
159	3657	19203
160	3680	19179
161	3702	19151
162	3723	19120
163	3746	19099
164	3769	19074
165	3790	19045
166	3812	19015
167	3834	18991
168	3857	18965
169	3879	18938
170	3900	18908
171	3922	18884
172	3943	18853
173	3966	18829
174	3990	18810
175	4013	18788
176	4035	18764
177	4058	18739
178	4079	18711
179	4101	18683
180	4124	18662
181	4147	18640
182	4168	18612
183	4191	18587
184	4215	18569
185	4236	18541
186	4256	18507
187	4279	18484
188	4301	18459
189	4324	18435
190	4346	18409
191	4368	18385
192	4391	18361
193	4413	18334
194	4434	18307
195	4457	18284
196	4479	18257
197	4501	18231
198	4524	18211
199	4546	18186
200	4568	18160
201	4590	18134
202	4613	18112
203	4636	18090
204	4659	18068
205	4680	18041
206	4703	18019
207	4725	17995
208	4748	17970
209	4770	17944
210	4792	17919
211	4814	17894
212	4834	17861
213	4855	17832
214	4878	17811
215	4900	17788
216	4923	17765
217	4945	17741
218	4965	17707
219	4987	17683
220	5009	17658
221	5031	17631
222	5053	17607
223	5075	17581
224	5099	17565
225	5121	17539
226	5143	17515
227	5166	17492
228	5189	17470
229	5211	17447
230	5233	17423
231	5256	17401
232	5278	17377
233	5301	17352
234	5322	17326
235	5344	17302
236	5367	17279
237	5390	17257
238	5412	17233
239	5432	17202
240	5455	17181
241	5480	17165
242	5504	17147
243	5529	17131
244	5552	17111
245	5576	17091
246	5600	17072
247	5622	17050
248	5646	17031
249	5667	17003
250	5688	16975
251	5714	16961
252	5737	16940
253	5789	17005
254	5814	16988
255	5838	16968
256	5861	16946
257	5884	16924
258	5908	16904
259	5930	16880
260	5954	16859
261	5975	16832
262	5998	16810
263	6022	16789
264	6044	16765
265	6066	16740
266	6088	16715
267	6112	16694
268	6134	16669
269	6157	16647
270	6179	16622
271	6203	16602
272	6225	16577
273	6249	16557
274	6273	16539
275	6299	16525
276	6322	16503
277	6344	16478
278	6366	16451
279	6388	16427
280	6409	16400
281	6432	16377
282	6451	16346
283	6474	16322
284	6496	16298
285	6518	16273
286	6541	16251
287	6565	16230
288	6590	16214
289	6614	16194
290	6636	16170
291	6659	16147
292	6682	16125
293	6705	16101
294	6727	16078
295	6748	16050
296	6774	16035
297	6800	16018
298	6832	16017
299	6890	16077
300	6931	16095
301	6956	16078
302	6980	16057
303	7003	16034
304	7026	16010
305	7048	15985
306	7070	15960
307	7092	15934
308	7116	15914
309	7140	15892
310	7162	15867
311	7186	15846
312	7209	15822
313	7232	15801
314	7258	15783
315	7284	15767
316	7308	15747
317	7332	15726
318	7355	15703
319	7378	15678
320	7403	15660
321	7426	15637
322	7450	15616
323	7474	15594
324	7500	15577
325	7524	15555
326	7549	15536
327	7574	15519
328	7599	15498
329	7622	15476
330	7646	15454
331	7706	15506
332	7741	15505
333	7765	15484
334	7791	15466
335	7814	15443
336	7840	15424
337	7863	15401
338	7890	15384
339	7913	15360
340	7936	15338
341	7960	15314
342	7982	15290
343	8005	15267
344	8028	15243
345	8052	15220
346	8074	15194
347	8096	15169
348	8122	15151
349	8148	15132
350	8180	15126
351	8216	15126
352	8250	15122
353	8278	15107
354	8301	15082
355	8323	15057
356	8347	15034
357	8370	15010
358	8393	14987
359	8418	14966
360	8453	14963
361	8478	14943
362	8504	14923
363	8528	14901
364	8552	14879
365	8576	14856
366	8603	14839
367	8626	14814
368	8650	14792
369	8675	14771
370	8701	14752
371	8724	14728
372	8748	14706
373	8772	14683
374	8795	14658
375	8820	14638
376	8866	14652
377	8895	14636
378	8938	14645
379	8984	14658
380	9009	14637
381	9034	14616
382	9058	14592
383	9082	14569
384	9104	14543
385	9128	14520
386	9152	14496
387	9175	14472
388	9197	14447
389	9220	14422
390	9243	14397
391	9265	14370
392	9286	14343
393	9310	14319
394	9334	14297
395	9360	14277
396	9385	14255
397	9410	14233
398	9457	14245
399	9496	14245
400	9522	14224
401	9552	14209
402	9582	14194
403	9607	14172
404	9632	14151
405	9656	14127
406	9696	14128
407	9751	14149
408	9785	14139
409	9818	14129
410	9848	14113
411	9872	14090
412	9894	14063
413	9917	14038
414	9940	14012
415	9962	13986
416	9984	13959
417	10008	13934
418	10029	13907
419	10052	13881
420	10074	13855
421	10096	13829
422	10120	13804
423	10143	13779
424	10165	13753
425	10189	13729
426	10212	13704
427	10236	13680
428	10269	13668
429	10291	13642
430	10314	13616
431	10338	13592
432	10397	13614
433	10425	13596
434	10450	13573
435	10473	13548
436	10496	13522
437	10519	13497
438	10543	13473
439	10567	13449
440	10590	13424
441	10615	13401
442	10637	13375
443	10661	13351
444	10685	13326
445	10708	13301
446	10734	13279
447	10758	13255
448	10784	13234
449	10812	13215
450	10837	13192
451	10863	13170
452	10888	13147
453	10937	13153
454	10962	13131
455	10987	13108
456	11033	13109
457	11085	13118
458	11143	13133
459	11195	13142
460	11234	13135
461	11292	13149
462	11337	13149
463	11364	13127
464	11391	13106
465	11417	13083
466	11441	13058
467	11463	13031
468	11487	13005
469	11509	12978
470	11532	12953
471	11559	12930
472	11584	12907
473	11609	12883
474	11633	12857
475	11658	12834
476	11700	12828
477	11727	12806
478	11751	12781
479	11774	12756
480	11798	12730
481	11848	12733
482	11880	12716
483	11912	12699
484	11936	12675
485	11960	12649
486	11986	12626
487	12011	12602
488	12034	12575
489	12056	12548
490	12079	12522
491	12101	12495
492	12125	12469
493	12147	12442
494	12169	12415
495	12192	12388
496	12216	12363
497	12239	12338
498	12265	12314
499	12289	12289
500	12321	12272
501	12356	12258
502	12384	12236
503	12409	12212
504	12435	12189
505	12461	12166
506	12504	12159
507	12529	12135
508	12554	12110
509	12583	12089
510	12610	12067
511	12638	12045
512	12674	12032
513	12701	12009
514	12726	11985
515	12778	11985
516	12825	11982
517	12852	11959
518	12879	11936
519	12906	11913
520	12933	11890
521	12966	11873
522	12995	11852
523	13018	11825
524	13040	11798
525	13063	11772
526	13083	11743
527	13104	11714
528	13125	11686
529	13146	11658
530	13168	11631
531	13190	11604
532	13212	11576
533	13236	11550
534	13258	11523
535	13281	11497
536	13303	11470
537	13325	11443
538	13347	11416
539	13369	11389
540	13391	11362
541	13414	11335
542	13435	11307
543	13456	11280
544	13478	11252
545	13501	11226
546	13524	11200
547	13546	11173
548	13569	11147
549	13596	11124
550	13624	11102
551	13647	11075
552	13672	11051
553	13696	11026
554	13721	11001
555	13745	10976
556	13770	10951
557	13793	10926
558	13817	10900
559	13839	10873
560	13861	10847
561	13890	10825
562	13916	10801
563	13939	10775
564	13962	10750
565	13985	10723
566	14008	10697
567	14030	10671
568	14050	10643
569	14073	10617
570	14096	10590
571	14118	10563
572	14138	10536
573	14160	10509
574	14207	10500
575	14238	10480
576	14260	10454
577	14285	10429
578	14306	10402
579	14329	10376
580	14352	10350
581	14387	10333
582	14410	10307
583	14433	10281
584	14456	10255
585	14480	10230
586	14501	10203
587	14524	10177
588	14545	10149
589	14571	10125
590	14593	10099
591	14614	10072
592	14636	10045
593	14659	10019
594	14681	9993
595	14705	9968
596	14729	9942
597	14753	9918
598	14778	9893
599	14801	9867
600	14831	9846
601	14863	9826
602	14889	9802
603	14915	9779
604	14943	9756
605	14971	9733
606	15015	9721
607	15066	9713
608	15092	9689
609	15141	9680
610	15212	9685
611	15245	9665
612	15277	9644
613	15302	9620
614	15330	9596
615	15356	9572
616	15381	9547
617	15406	9523
618	15430	9497
619	15455	9472
620	15489	9453
621	15513	9427
622	15536	9401
623	15574	9384
624	15602	9361
625	15627	9336
626	15655	9313
627	15682	9289
628	15747	9288
629	15786	9271
630	15815	9248
631	15840	9223
632	15866	9199
633	15890	9173
634	15915	9148
635	15972	9141
636	16005	9121
637	16029	9095
638	16052	9069
639	16075	9042
640	16123	9030
641	16177	9021
642	16204	8996
643	16233	8973
644	16257	8948
645	16281	8922
646	16306	8896
647	16330	8870
648	16368	8852
649	16393	8827
650	16416	8800
651	16442	8775
652	16464	8749
653	16488	8723
654	16514	8698
655	16557	8682
656	16582	8657
657	16609	8633
658	16634	8607
659	16664	8584
660	16687	8558
661	16712	8532
662	16739	8508
663	16764	8483
664	16789	8458
665	16813	8431
666	16836	8405
667	16861	8380
668	16885	8354
669	16919	8333
670	16943	8307
671	16968	8282
672	17011	8265
673	17040	8242
674	17069	8218
675	17102	8196
676	17125	8170
677	17152	8145
678	17175	8119
679	17201	8094
680	17226	8069
681	17249	8042
682	17280	8020
683	17305	7994
684	17333	7970
685	17360	7946
686	17385	7920
687	17409	7894
688	17434	7869
689	17459	7844
690	17483	7818
691	17507	7792
692	17535	7768
693	17562	7743
694	17586	7717
695	17625	7698
696	17648	7672
697	17673	7646
698	17697	7620
699	17721	7594
700	17743	7568
701	17766	7541
702	17788	7515
703	17810	7488
704	17832	7461
705	17853	7434
706	17874	7407
707	17896	7380
708	17916	7353
709	17937	7326
710	17959	7300
711	17980	7273
712	18001	7245
713	18022	7219
714	18044	7192
715	18066	7166
716	18088	7139
717	18110	7112
718	18131	7086
